year,rate,bottom,top
1913,1,0,20000
1913,2,20000,50000
1913,3,50000,75000
1913,4,75000,100000
1913,5,100000,250000
1913,6,250000,500000
1913,7,500000,
1914,1,0,20000
1914,2,20000,50000
1914,3,50000,75000
1914,4,75000,100000
1914,5,100000,250000
1914,6,250000,500000
1914,7,500000,
1915,1,0,20000
1915,2,20000,50000
1915,3,50000,75000
1915,4,75000,100000
1915,5,100000,250000
1915,6,250000,500000
1915,7,500000,
1916,2,0,20000
1916,3,20000,40000
1916,4,40000,60000
1916,5,60000,80000
1916,6,80000,100000
1916,7,100000,150000
1916,8,150000,200000
1916,9,200000,250000
1916,10,250000,300000
1916,11,300000,500000
1916,12,500000,1000000
1916,13,1000000,1500000
1916,14,1500000,2000000
1916,15,2000000,
1917,2,0,2000
1917,4,2000,5000
1917,5,5000,7500
1917,6,7500,10000
1917,7,10000,12500
1917,8,12500,15000
1917,9,15000,20000
1917,12,20000,40000
1917,16,40000,60000
1917,21,60000,80000
1917,26,80000,100000
1917,31,100000,150000
1917,35,150000,200000
1917,41,200000,250000
1917,46,250000,300000
1917,50,300000,500000
1917,54,500000,750000
1917,59,750000,1000000
1917,65,1000000,1500000
1917,66,1500000,2000000
1917,67,2000000,
1918,6,0,4000
1918,12,4000,5000
1918,13,5000,6000
1918,14,6000,8000
1918,15,8000,10000
1918,16,10000,12000
1918,17,12000,14000
1918,18,14000,16000
1918,19,16000,18000
1918,20,18000,20000
1918,21,20000,22000
1918,22,22000,24000
1918,23,24000,26000
1918,24,26000,28000
1918,25,28000,30000
1918,26,30000,32000
1918,27,32000,34000
1918,28,34000,36000
1918,29,36000,38000
1918,30,38000,40000
1918,31,40000,42000
1918,32,42000,44000
1918,33,44000,46000
1918,34,46000,48000
1918,35,48000,50000
1918,36,50000,52000
1918,37,52000,54000
1918,38,54000,56000
1918,39,56000,58000
1918,40,58000,60000
1918,41,60000,62000
1918,42,62000,64000
1918,43,64000,66000
1918,44,66000,68000
1918,45,68000,70000
1918,46,70000,72000
1918,47,72000,74000
1918,48,74000,76000
1918,49,76000,78000
1918,50,78000,80000
1918,51,80000,82000
1918,52,82000,84000
1918,53,84000,86000
1918,54,86000,88000
1918,55,88000,90000
1918,56,90000,92000
1918,57,92000,94000
1918,58,94000,96000
1918,59,96000,98000
1918,60,98000,100000
1918,64,100000,150000
1918,68,150000,200000
1918,72,200000,300000
1918,75,300000,500000
1918,76,500000,1000000
1918,77,1000000,
1919,4,0,4000
1919,8,4000,5000
1919,9,5000,6000
1919,10,6000,8000
1919,11,8000,10000
1919,12,10000,12000
1919,13,12000,14000
1919,14,14000,16000
1919,15,16000,18000
1919,16,18000,20000
1919,17,20000,22000
1919,18,22000,24000
1919,19,24000,26000
1919,20,26000,28000
1919,21,28000,30000
1919,22,30000,32000
1919,23,32000,34000
1919,24,34000,36000
1919,25,36000,38000
1919,26,38000,40000
1919,27,40000,42000
1919,28,42000,44000
1919,29,44000,46000
1919,30,46000,48000
1919,31,48000,50000
1919,32,50000,52000
1919,33,52000,54000
1919,34,54000,56000
1919,35,56000,58000
1919,36,58000,60000
1919,37,60000,62000
1919,38,62000,64000
1919,39,64000,66000
1919,40,66000,68000
1919,41,68000,70000
1919,42,70000,72000
1919,43,72000,74000
1919,44,74000,76000
1919,45,76000,78000
1919,46,78000,80000
1919,47,80000,82000
1919,48,82000,84000
1919,49,84000,86000
1919,50,86000,88000
1919,51,88000,90000
1919,52,90000,92000
1919,53,92000,94000
1919,54,94000,96000
1919,55,96000,98000
1919,56,98000,100000
1919,60,100000,150000
1919,64,150000,200000
1919,68,200000,300000
1919,71,300000,500000
1919,72,500000,1000000
1919,73,1000000,
1920,4,0,4000
1920,8,4000,5000
1920,9,5000,6000
1920,10,6000,8000
1920,11,8000,10000
1920,12,10000,12000
1920,13,12000,14000
1920,14,14000,16000
1920,15,16000,18000
1920,16,18000,20000
1920,17,20000,22000
1920,18,22000,24000
1920,19,24000,26000
1920,20,26000,28000
1920,21,28000,30000
1920,22,30000,32000
1920,23,32000,34000
1920,24,34000,36000
1920,25,36000,38000
1920,26,38000,40000
1920,27,40000,42000
1920,28,42000,44000
1920,29,44000,46000
1920,30,46000,48000
1920,31,48000,50000
1920,32,50000,52000
1920,33,52000,54000
1920,34,54000,56000
1920,35,56000,58000
1920,36,58000,60000
1920,37,60000,62000
1920,38,62000,64000
1920,39,64000,66000
1920,40,66000,68000
1920,41,68000,70000
1920,42,70000,72000
1920,43,72000,74000
1920,44,74000,76000
1920,45,76000,78000
1920,46,78000,80000
1920,47,80000,82000
1920,48,82000,84000
1920,49,84000,86000
1920,50,86000,88000
1920,51,88000,90000
1920,52,90000,92000
1920,53,92000,94000
1920,54,94000,96000
1920,55,96000,98000
1920,56,98000,100000
1920,60,100000,150000
1920,64,150000,200000
1920,68,200000,300000
1920,71,300000,500000
1920,72,500000,1000000
1920,73,1000000,
1921,4,0,4000
1921,8,4000,5000
1921,9,5000,6000
1921,10,6000,8000
1921,11,8000,10000
1921,12,10000,12000
1921,13,12000,14000
1921,14,14000,16000
1921,15,16000,18000
1921,16,18000,20000
1921,17,20000,22000
1921,18,22000,24000
1921,19,24000,26000
1921,20,26000,28000
1921,21,28000,30000
1921,22,30000,32000
1921,23,32000,34000
1921,24,34000,36000
1921,25,36000,38000
1921,26,38000,40000
1921,27,40000,42000
1921,28,42000,44000
1921,29,44000,46000
1921,30,46000,48000
1921,31,48000,50000
1921,32,50000,52000
1921,33,52000,54000
1921,34,54000,56000
1921,35,56000,58000
1921,36,58000,60000
1921,37,60000,62000
1921,38,62000,64000
1921,39,64000,66000
1921,40,66000,68000
1921,41,68000,70000
1921,42,70000,72000
1921,43,72000,74000
1921,44,74000,76000
1921,45,76000,78000
1921,46,78000,80000
1921,47,80000,82000
1921,48,82000,84000
1921,49,84000,86000
1921,50,86000,88000
1921,51,88000,90000
1921,52,90000,92000
1921,53,92000,94000
1921,54,94000,96000
1921,55,96000,98000
1921,56,98000,100000
1921,60,100000,150000
1921,64,150000,200000
1921,68,200000,300000
1921,71,300000,500000
1921,72,500000,1000000
1921,73,1000000,
1922,4,0,4000
1922,8,4000,6000
1922,9,6000,10000
1922,10,10000,12000
1922,11,12000,14000
1922,12,14000,16000
1922,13,16000,18000
1922,14,18000,20000
1922,16,20000,22000
1922,17,22000,24000
1922,18,24000,26000
1922,19,26000,28000
1922,20,28000,30000
1922,21,30000,32000
1922,23,32000,36000
1922,24,36000,38000
1922,25,38000,40000
1922,26,40000,42000
1922,27,42000,44000
1922,28,44000,46000
1922,29,46000,48000
1922,30,48000,50000
1922,31,50000,52000
1922,32,52000,54000
1922,33,54000,56000
1922,34,56000,58000
1922,35,58000,60000
1922,36,60000,62000
1922,37,62000,64000
1922,38,64000,66000
1922,39,66000,68000
1922,40,68000,70000
1922,41,70000,72000
1922,42,72000,74000
1922,43,74000,76000
1922,44,76000,78000
1922,45,78000,80000
1922,46,80000,82000
1922,47,82000,84000
1922,48,84000,86000
1922,49,86000,88000
1922,50,88000,90000
1922,51,90000,92000
1922,52,92000,94000
1922,53,94000,96000
1922,54,96000,98000
1922,55,98000,100000
1922,56,100000,150000
1922,57,150000,200000
1922,58,200000,
1923,4,0,4000
1923,8,4000,6000
1923,9,6000,10000
1923,10,10000,12000
1923,11,12000,14000
1923,12,14000,16000
1923,13,16000,18000
1923,14,18000,20000
1923,16,20000,22000
1923,17,22000,24000
1923,18,24000,26000
1923,19,26000,28000
1923,20,28000,30000
1923,21,30000,32000
1923,23,32000,36000
1923,24,36000,38000
1923,25,38000,40000
1923,26,40000,42000
1923,27,42000,44000
1923,28,44000,46000
1923,29,46000,48000
1923,30,48000,50000
1923,31,50000,52000
1923,32,52000,54000
1923,33,54000,56000
1923,34,56000,58000
1923,35,58000,60000
1923,36,60000,62000
1923,37,62000,64000
1923,38,64000,66000
1923,39,66000,68000
1923,40,68000,70000
1923,41,70000,72000
1923,42,72000,74000
1923,43,74000,76000
1923,44,76000,78000
1923,45,78000,80000
1923,46,80000,82000
1923,47,82000,84000
1923,48,84000,86000
1923,49,86000,88000
1923,50,88000,90000
1923,51,90000,92000
1923,52,92000,94000
1923,53,94000,96000
1923,54,96000,98000
1923,55,98000,100000
1923,56,100000,150000
1923,57,150000,200000
1923,58,200000,
1924,2,0,4000
1924,4,4000,8000
1924,6,8000,10000
1924,7,10000,14000
1924,8,14000,16000
1924,9,16000,18000
1924,10,18000,20000
1924,11,20000,22000
1924,12,22000,24000
1924,13,24000,26000
1924,14,26000,28000
1924,15,28000,30000
1924,16,30000,34000
1924,17,34000,36000
1924,18,36000,38000
1924,19,38000,42000
1924,20,42000,44000
1924,21,44000,46000
1924,22,46000,48000
1924,23,48000,50000
1924,24,50000,52000
1924,25,52000,56000
1924,26,56000,58000
1924,27,58000,62000
1924,28,62000,64000
1924,29,64000,66000
1924,30,66000,68000
1924,31,68000,70000
1924,32,70000,74000
1924,33,74000,76000
1924,34,76000,80000
1924,35,80000,82000
1924,36,82000,84000
1924,37,84000,88000
1924,38,88000,90000
1924,39,90000,92000
1924,40,92000,94000
1924,41,94000,96000
1924,42,96000,100000
1924,43,100000,200000
1924,44,200000,300000
1924,45,300000,500000
1924,46,500000,
1925,1.5,0,4000
1925,3,4000,8000
1925,5,8000,10000
1925,6,10000,14000
1925,7,14000,16000
1925,8,16000,18000
1925,9,18000,20000
1925,10,20000,22000
1925,11,22000,24000
1925,12,24000,28000
1925,13,28000,32000
1925,14,32000,36000
1925,15,36000,40000
1925,16,40000,44000
1925,17,44000,48000
1925,18,48000,52000
1925,19,52000,56000
1925,20,56000,60000
1925,21,60000,64000
1925,22,64000,70000
1925,23,70000,80000
1925,24,80000,100000
1925,25,100000,
1926,1.5,0,4000
1926,3,4000,8000
1926,5,8000,10000
1926,6,10000,14000
1926,7,14000,16000
1926,8,16000,18000
1926,9,18000,20000
1926,10,20000,22000
1926,11,22000,24000
1926,12,24000,28000
1926,13,28000,32000
1926,14,32000,36000
1926,15,36000,40000
1926,16,40000,44000
1926,17,44000,48000
1926,18,48000,52000
1926,19,52000,56000
1926,20,56000,60000
1926,21,60000,64000
1926,22,64000,70000
1926,23,70000,80000
1926,24,80000,100000
1926,25,100000,
1927,1.5,0,4000
1927,3,4000,8000
1927,5,8000,10000
1927,6,10000,14000
1927,7,14000,16000
1927,8,16000,18000
1927,9,18000,20000
1927,10,20000,22000
1927,11,22000,24000
1927,12,24000,28000
1927,13,28000,32000
1927,14,32000,36000
1927,15,36000,40000
1927,16,40000,44000
1927,17,44000,48000
1927,18,48000,52000
1927,19,52000,56000
1927,20,56000,60000
1927,21,60000,64000
1927,22,64000,70000
1927,23,70000,80000
1927,24,80000,100000
1927,25,100000,
1928,1.5,0,4000
1928,3,4000,8000
1928,5,8000,10000
1928,6,10000,14000
1928,7,14000,16000
1928,8,16000,18000
1928,9,18000,20000
1928,10,20000,22000
1928,11,22000,24000
1928,12,24000,28000
1928,13,28000,32000
